dTime [s];measTemp [°C];calcTemp [°C]
662.797;40;25
663.796;40;25
664.795;40;25
665.794;40;25
666.793;40;25
667.792;40;25
668.791;40;25
669.791;40;25
670.79;40;25
671.789;40;25
672.788;40;25
673.787;40;25
674.786;40;25
675.785;40;25
676.784;40;25
677.783;39;25
678.781;39;25
679.781;39;25
680.78;39;25
681.779;39;25
682.778;39;25
683.777;39;25
684.776;39;25
685.775;39;25
686.77;39;25
687.769;39;25
688.768;39;25
689.767;39;25
690.766;39;25
691.766;39;25
692.765;39;25
693.764;39;25
694.764;39;25
695.763;39;25
696.762;39;25
697.761;39;25
698.76;39;25
699.758;40;25
700.758;40;25
701.757;39;25
702.756;39;25
703.755;39;25
704.753;39;25
705.753;39;25
706.752;39;25
707.751;39;25
708.75;39;25
709.748;39;25
710.748;39;25
711.747;39;25
712.746;39;25
713.745;39;25
714.744;39;25
715.743;39;25
716.742;39;25
717.741;39;25
718.74;39;25
719.739;39;25
720.737;39;25
721.737;39;25
722.732;39;25
723.731;39;25
724.73;39;25
725.729;39;25
726.728;39;25
727.727;39;25
728.726;39;25
729.725;39;25
730.724;39;25
731.723;39;25
732.722;39;25
733.721;39;25
734.72;39;25
735.719;39;25
736.718;39;25
737.717;39;25
738.716;39;25
739.715;39;25
740.714;39;25
741.713;39;25
742.712;39;25
743.715;39;25
744.71;39;25
745.709;39;25
746.708;39;25
747.707;39;25
748.706;39;25
749.705;39;25
750.704;39;25
751.703;39;25
752.702;39;25
753.701;39;25
754.7;39;25
755.703;39;25
756.698;39;25
757.698;39;25
758.693;38;25
759.692;38;25
760.691;38;25
761.69;38;25
762.689;38;25
763.688;38;25
764.687;38;25
765.686;38;25
766.685;38;25
767.684;38;25
768.683;38;25
769.682;38;25
770.681;38;25
771.68;39;25
772.679;38;25
773.678;39;25
